Houston Rockets,,https://www.basketball-reference.com/contracts/HOU.html,,,,,,,,,,,,,,,,,,,"The Cavs will be able to offerÿLeBronÿJames a projectedÿmax contractÿof 5 years, $205M this summer; all other teams can offer 4 years, $152M.",
Josh Richardson,27.8,0,0,0,0,0,0,0,,-0.2,+0.6,,,25,0.0,"$9,300,000",<-- Trade w/ CLE,15.5,,,,
Rodney McGruder,11.7,2,12,7,,,21,0.742236493,,-0.9,-1.3,*,"$1,544,951 ",27,-0.3,,,,,,,
Chris Bosh,7.0,0,0,0,0,0,0,0,,-1.2,+0.9,,,34,0.0,"$26,837,720",Retired,,,,,
A.J. Hammons,16.2,0,0,0,0,0,0,0,,-1.8,+0.2,,"$350,088 ",26,0.0,"$1,544,951 ",,,,,,
LeBron James,33.7,,,30,6,,36,0.02446579,,+5.4,+0.8,*,"$35,607,968 ",34,16.5,,<-- Trade w/ CLE,44.2,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,0,0,4,19,15,38,,,-1.5,+0.6,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+0.7,+0.4,,"$126,493,515",32.3,,,,,,,,
,,Expected Champs,,,,,,,,,,,"-$25,493,515",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"-$3,493,515",<< vs. tax,,,,,,,,
MIA,,9%,11%,9%,5%,0.35,31%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,31%,,,,43.9,38.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors II,,NULL,,,,,,,,,,,,,,,,,,,,
alt. version^^,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,113%,Upside Value,,,,
Kyle Lowry,28.3,0,0,0,0,0,0,0,,+4.3,-0.2,,,32,0.0,"$31,000,000 ",<-- Trade w/ CLE,29.3,,,,
DeMar DeRozan,28.4,5,29,,,,34,0.299509953,,+2.2,-1.6,*,"$27,739,975 ",29,4.9,,,,,,,
Serge Ibaka,22.8,,,,28,,28,0.288129875,,-1.2,+0.6,*,"$21,666,667 ",29,2.2,,,,,,,
Jonas Valanciunas,22.4,,,,,25,25,0.059440934,,-0.4,+1.0,*,"$16,539,326 ",26,3.7,,,,,,,
C.J. Miles,14.1,,5,10,,,15,0,,+0.2,-1.4,,"$8,333,333 ",31,0.6,,,,,,,
Jakob Poeltl,19.3,,,,,15,15,0,,-0.8,+2.1,,"$2,947,320 ",23,2.8,,,,,,,
Delon Wright,18.8,20,,,,,20,0,,+0.7,+0.5,,"$2,536,898 ",26,3.7,,,,,,,
OG Anunoby,25.1,,,5,10,,15,0,,+0.4,+0.5,,"$1,952,760 ",21,2.5,,,,,,,
Malachi Richardson,8.3,,,3,,,3,0,,-1.1,-1.0,,"$1,569,360",23,0.0,,,,,,,
Norman Powell,12.6,,5,,,,5,0,,-1.2,-1.0,,"$9,367,200",25,-0.1,,,,,,,
Pascal Siakam,20.0,,,,10,8,18,0,,-0.8,+1.2,,"$1,544,951",24,2.5,,,,,,,
Alfonzo McKinnie,10.7,,4,,,,4,0,,-1.4,-0.4,,"$1,378,242",26,0.1,,,,,,,
Justin Hamilton,8.6,0,0,0,0,0,0,0,,-1.9,+0.6,,"$1,000,000",28,0.0,,,,,,,
LeBron James,33.7,5,,30,,,35,0,,+5.4,+0.8,,"$35,607,968",34,16.1,,<-- Trade w/ CLE,44.2,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,18,5,0,0,0,23,,,-0.8,-1.0,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+3.9,+0.7,,"$132,184,000",29.3,,,,,,,,
,,Expected Champs,,,,,,,,,,,"-$31,184,000",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"-$9,184,000",<< vs. tax,,,,,,,,
NULL,,14%,13%,10%,8%,0.45,38%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,38%,,,,52.6,29.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,,https://www.basketball-reference.com/contracts/SAS.html,,,,,,,,,,,,,,,,,,,,
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
